harm_category,harm_subcategory
Human rights & civil liberties,Discrimination
Emotional & psychological,Anxiety/distress/depression
Political & economic,Political instability
Political & economic,Institutional trust loss
Emotional & psychological,Intimidation
Emotional & psychological,Radicalisation
Reputational,Defamation/libel/slander
Political & economic,Critical infrastructure damage
Emotional & psychological,Dignity loss
Societal & cultural,Public service delivery deterioration
Emotional & psychological,Dehumanisation/objectification
Human rights & civil liberties,Benefits/entitlements loss
Political & economic,Political manipulation
Financial & business,Financial/earnings loss
Societal & cultural,Stereotyping
Societal & cultural,Information ecosystem degradation
Autonomy,Autonomy/agency loss
Emotional & psychological,Sexualisation
Reputational,Loss of confidence/trust
Human rights & civil liberties,Loss of human rights and freedoms
Societal & cultural,Violence/armed conflict
Physical,Loss of life
Physical,Bodily injury
Physical,Property damage
Societal & cultural,Damage to public health
Emotional & psychological,Self-harm
Human rights & civil liberties,Privacy loss
Autonomy,Impersonation/identity theft
Autonomy,Personality loss
Societal & cultural,Societal destabilisation
Emotional & psychological,Addiction
Financial & business,Confidentiality loss
Emotional & psychological,Over-reliance
Physical,Personal health deterioration
Financial & business,Loss of productivity
Emotional & psychological,Alienation/isolation
Financial & business,Opportunity loss
Societal & cultural,Societal inequality
Emotional & psychological,Coercion/manipulation
Financial & business,Livelihood loss
Political & economic,Economic instability
Political & economic,Electoral interference
Autonomy,IP/copyright loss
Psychological,Coercion/manipulation
Psychological,Anxiety/distress
Psychological,Sexualisation
Psychological,Dehumanisation/objectification
Psychological,Dignity loss
Psychological,Alienation/isolation
Human rights & civil liberties,Loss/violation of human rights and freedoms
Psychological,Over-reliance
Autonomy,Personality rights loss
Psychological,Addiction
Societal & cultural,Job loss/losses
Societal & cultural,Loss of creativity/critical thinking
Political & economic,Economic/political power
Psychological,Harassment/abuse/intimidation
Psychological,Self-harm
Societal & cultural,Cheating/plagiarism
Financial & business,Business operations/infrastructure damage
Human rights & civil liberties,Loss of right to due process
Human rights & civil liberties,Loss of right to liberty and security
Psychological,Radicalisation
